is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date
0,6,2015,July,27,1,0,2,1,0,0,HB       ,PRT,Offline TA/TO,TA/TO,0,0,0,A               ,A               ,0,No Deposit     ,6,       NULL,0,Transient,0,0,0,Check-Out,03-07-2015
1,88,2015,July,27,1,0,4,2,0,0,BB       ,PRT,Online TA,TA/TO,0,0,0,A               ,A               ,0,No Deposit     ,9,       NULL,0,Transient,76.5,0,1,Canceled,01-07-2015
1,65,2015,July,27,1,0,4,1,0,0,BB       ,PRT,Online TA,TA/TO,0,0,0,A               ,A               ,0,No Deposit     ,9,       NULL,0,Transient,68,0,1,Canceled,30-04-2015
1,92,2015,July,27,1,2,4,2,0,0,BB       ,PRT,Online TA,TA/TO,0,0,0,A               ,A               ,0,No Deposit     ,9,       NULL,0,Transient,76.5,0,2,Canceled,23-06-2015
1,100,2015,July,27,2,0,2,2,0,0,BB       ,PRT,Online TA,TA/TO,0,0,0,A               ,A               ,0,No Deposit     ,9,       NULL,0,Transient,76.5,0,1,Canceled,02-04-2015
1,79,2015,July,27,2,0,3,2,0,0,BB       ,PRT,Online TA,TA/TO,0,0,0,A               ,A               ,0,No Deposit     ,9,       NULL,0,Transient,76.5,0,1,Canceled,25-06-2015
0,3,2015,July,27,2,0,3,1,0,0,HB       ,PRT,Groups,TA/TO,0,0,0,A               ,A               ,1,No Deposit     ,1,       NULL,0,Transient-Party,58.67,0,0,Check-Out,05-07-2015
1,63,2015,July,27,2,1,3,1,0,0,BB       ,PRT,Online TA,TA/TO,0,0,0,A               ,A               ,0,No Deposit     ,9,       NULL,0,Transient,68,0,0,Canceled,25-06-2015
1,62,2015,July,27,2,2,3,2,0,0,BB       ,PRT,Online TA,TA/TO,0,0,0,A               ,A               ,0,No Deposit     ,8,       NULL,0,Transient,76.5,0,1,No-Show,02-07-2015
1,62,2015,July,27,2,2,3,2,0,0,BB       ,PRT,Online TA,TA/TO,0,0,0,A               ,A               ,0,No Deposit     ,8,       NULL,0,Transient,76.5,0,1,No-Show,02-07-2015
0,43,2015,July,27,3,0,2,2,0,0,HB       ,PRT,Groups,TA/TO,0,0,0,A               ,A               ,0,No Deposit     ,1,       NULL,0,Transient-Party,86,0,0,Check-Out,05-07-2015
0,43,2015,July,27,3,0,2,2,0,0,HB       ,PRT,Groups,TA/TO,0,0,0,A               ,A               ,1,No Deposit     ,1,       NULL,0,Transient-Party,43,0,0,Check-Out,05-07-2015
0,43,2015,July,27,3,0,2,2,0,0,HB       ,PRT,Groups,TA/TO,0,0,0,A               ,A               ,0,No Deposit     ,1,       NULL,0,Transient-Party,86,0,0,Check-Out,05-07-2015
0,4,2015,July,27,3,0,2,1,0,0,HB       ,PRT,Groups,TA/TO,0,0,0,A               ,A               ,0,No Deposit     ,1,       NULL,0,Transient-Party,63,0,0,Check-Out,05-07-2015
1,43,2015,July,27,3,0,2,2,0,0,HB       ,PRT,Groups,TA/TO,0,0,0,A               ,A               ,0,No Deposit     ,1,       NULL,0,Transient-Party,86,0,0,Canceled,29-06-2015
0,43,2015,July,27,3,0,2,1,0,0,HB       ,PRT,Groups,TA/TO,0,0,0,A               ,A               ,1,No Deposit     ,1,       NULL,0,Transient-Party,63,0,0,Check-Out,05-07-2015
1,43,2015,July,27,3,0,2,1,0,0,HB       ,PRT,Groups,TA/TO,0,0,0,A               ,A               ,0,No Deposit     ,1,       NULL,0,Transient-Party,63,0,0,Canceled,16-06-2015
0,43,2015,July,27,3,0,2,2,0,0,HB       ,PRT,Groups,TA/TO,0,0,0,A               ,A               ,0,No Deposit     ,1,       NULL,0,Transient-Party,86,0,0,Check-Out,05-07-2015
0,43,2015,July,27,3,0,2,2,0,0,HB       ,PRT,Groups,TA/TO,0,0,0,A               ,A               ,0,No Deposit     ,1,       NULL,0,Transient-Party,86,0,0,Check-Out,05-07-2015
1,43,2015,July,27,3,0,2,1,0,0,HB       ,PRT,Groups,TA/TO,0,0,0,A               ,A               ,0,No Deposit     ,1,       NULL,0,Transient-Party,63,0,0,Canceled,29-06-2015
1,43,2015,July,27,3,0,2,2,0,0,HB       ,PRT,Groups,TA/TO,0,0,0,A               ,A               ,0,No Deposit     ,1,       NULL,0,Transient-Party,86,0,0,Canceled,16-06-2015
1,97,2015,July,27,3,0,2,2,0,0,BB       ,PRT,Offline TA/TO,TA/TO,0,0,0,A               ,A               ,0,No Deposit     ,13,       NULL,0,Transient,63.75,0,1,Canceled,30-06-2015
0,43,2015,July,27,3,0,2,2,0,0,HB       ,PRT,Groups,TA/TO,0,0,0,A               ,A               ,0,No Deposit     ,1,       NULL,0,Transient-Party,86,0,0,Check-Out,05-07-2015
0,43,2015,July,27,3,0,2,2,0,0,HB       ,PRT,Groups,TA/TO,0,0,0,A               ,A               ,0,No Deposit     ,1,       NULL,0,Transient-Party,86,0,0,Check-Out,05-07-2015
1,80,2015,July,27,3,1,2,2,0,0,BB       ,PRT,Online TA,TA/TO,0,0,0,A               ,A               ,0,No Deposit     ,9,       NULL,0,Transient,76.5,0,1,Canceled,17-04-2015
0,60,2015,July,27,3,2,5,2,0,0,SC       ,PRT,Online TA,TA/TO,0,0,0,A               ,A               ,1,No Deposit     ,11,       NULL,0,Transient,60.27,0,0,Check-Out,10-07-2015
1,106,2015,July,27,4,1,1,1,0,0,BB       ,PRT,Online TA,TA/TO,0,0,0,A               ,A               ,0,No Deposit     ,9,       NULL,0,Transient,68,0,0,Canceled,01-06-2015
1,68,2015,July,27,4,2,1,1,0,0,BB       ,PRT,Online TA,TA/TO,0,0,0,A               ,A               ,0,No Deposit     ,9,       NULL,0,Transient,68,0,0,Canceled,23-06-2015
1,92,2015,July,27,4,2,1,2,0,0,BB       ,PRT,Online TA,TA/TO,0,0,0,A               ,A               ,1,No Deposit     ,9,       NULL,0,Transient,76.5,0,1,Canceled,15-06-2015
0,18,2015,July,27,4,2,2,1,0,0,BB       ,PRT,Groups,TA/TO,0,0,0,A               ,A               ,0,No Deposit     ,1,       NULL,0,Transient-Party,60,0,0,Check-Out,08-07-2015
1,71,2015,July,28,5,2,1,2,0,0,SC       ,PRT,Online TA,TA/TO,0,0,0,A               ,A               ,1,No Deposit     ,11,       NULL,0,Transient,55.8,0,0,Canceled,30-06-2015
1,85,2015,July,28,5,2,1,2,0,0,BB       ,PRT,Online TA,TA/TO,0,0,0,A               ,A               ,0,No Deposit     ,7,       NULL,0,Transient,52.36,0,0,Canceled,20-06-2015
1,92,2015,July,28,5,2,3,2,0,0,BB       ,PRT,Online TA,TA/TO,0,0,0,A               ,A               ,0,No Deposit     ,7,       NULL,0,Transient,49.74,0,0,Canceled,03-07-2015
1,75,2015,July,28,6,1,1,2,0,0,BB       ,PRT,Online TA,TA/TO,0,0,0,A               ,A               ,0,No Deposit     ,9,       NULL,0,Transient,76.5,0,1,Canceled,20-06-2015
1,92,2015,July,28,6,1,3,1,0,0,BB       ,PRT,Online TA,TA/TO,0,0,0,A               ,A               ,0,No Deposit     ,9,       NULL,0,Transient,68,0,2,Canceled,21-04-2015
1,89,2015,July,28,6,1,4,1,0,0,BB       ,PRT,Online TA,TA/TO,0,0,0,A               ,A               ,0,No Deposit     ,9,       NULL,0,Transient,68,0,1,Canceled,20-06-2015
1,100,2015,July,28,6,1,4,2,0,1,HB       ,PRT,Online TA,TA/TO,0,0,0,A               ,A               ,0,No Deposit     ,15,       NULL,0,Transient,93.6,0,2,Canceled,15-06-2015
1,83,2015,July,28,6,2,5,2,0,0,BB       ,PRT,Online TA,TA/TO,0,0,0,A               ,A               ,0,No Deposit     ,9,       NULL,0,Transient,76.5,0,1,Canceled,22-05-2015
1,72,2015,July,28,6,3,6,2,0,0,BB       ,PRT,Online TA,TA/TO,0,0,0,A               ,A               ,0,No Deposit     ,9,       NULL,0,Transient,76.5,0,1,Canceled,25-06-2015
1,111,2015,July,28,6,1,2,2,0,0,BB       ,PRT,Online TA,TA/TO,0,0,0,A               ,A               ,0,No Deposit     ,9,       NULL,0,Transient,76.5,0,1,No-Show,06-07-2015
1,86,2015,July,28,6,1,3,2,0,0,BB       ,PRT,Online TA,TA/TO,0,0,0,A               ,A               ,0,No Deposit     ,9,       NULL,0,Transient,76.5,0,0,Canceled,17-06-2015
1,73,2015,July,28,7,0,4,2,0,0,BB       ,PRT,Online TA,TA/TO,0,0,0,A               ,A               ,0,No Deposit     ,7,       NULL,0,Transient,68,0,0,Canceled,27-06-2015
1,92,2015,July,28,7,0,4,1,0,0,BB       ,PRT,Online TA,TA/TO,0,0,0,A               ,A               ,0,No Deposit     ,9,       NULL,0,Transient,68,0,0,Canceled,26-06-2015
1,55,2015,July,28,7,0,4,2,0,0,BB       ,PRT,Online TA,TA/TO,0,0,0,A               ,A               ,1,No Deposit     ,9,       NULL,0,Transient-Party,81,0,2,Canceled,27-06-2015
0,69,2015,July,28,7,0,2,2,1,0,BB       ,PRT,Offline TA/TO,TA/TO,0,0,0,A               ,A               ,0,No Deposit     ,13,       NULL,0,Transient,76.08,0,0,Check-Out,09-07-2015
1,76,2015,July,28,7,0,3,2,0,0,BB       ,PRT,Online TA,TA/TO,0,0,0,A               ,A               ,0,No Deposit     ,9,       NULL,0,Transient-Party,76.5,0,2,Canceled,17-06-2015
1,76,2015,July,28,7,0,3,2,0,0,BB       ,PRT,Online TA,TA/TO,0,0,0,A               ,A               ,0,No Deposit     ,9,       NULL,0,Transient-Party,76.5,0,1,Canceled,17-06-2015
1,79,2015,July,28,7,0,3,2,0,0,BB       ,PRT,Complementary,TA/TO,0,0,0,A               ,A               ,0,No Deposit     ,       NULL,       NULL,0,Transient,37.33,0,1,Canceled,16-06-2015
1,61,2015,July,28,7,0,4,2,0,0,BB       ,PRT,Online TA,TA/TO,0,0,0,A               ,A               ,0,No Deposit     ,9,       NULL,0,Transient,76.5,0,1,Canceled,29-06-2015
1,55,2015,July,28,7,0,4,2,0,0,BB       ,PRT,Online TA,TA/TO,0,0,0,A               ,A               ,1,No Deposit     ,9,       NULL,0,Transient-Party,90,0,2,Canceled,27-06-2015
1,63,2015,July,28,7,2,5,2,0,0,BB       ,PRT,Direct,Direct,0,0,0,B               ,B               ,0,No Deposit     ,       NULL,       NULL,0,Transient-Party,45,0,1,Canceled,07-07-2015
1,63,2015,July,28,7,2,5,2,0,0,BB       ,PRT,Direct,Direct,0,0,0,B               ,B               ,2,No Deposit     ,       NULL,       NULL,0,Transient-Party,45,0,1,Canceled,07-07-2015
1,77,2015,July,28,7,2,5,2,0,0,BB       ,PRT,Online TA,TA/TO,0,0,0,A               ,A               ,0,No Deposit     ,8,       NULL,0,Transient,76.5,0,0,Canceled,07-07-2015
0,54,2015,July,28,7,2,8,2,0,0,BB       ,PRT,Online TA,TA/TO,0,0,0,A               ,A               ,0,No Deposit     ,7,       NULL,0,Transient,62.37,0,0,Check-Out,17-07-2015
1,90,2015,July,28,7,5,15,1,0,0,SC       ,PRT,Online TA,TA/TO,0,0,0,A               ,A               ,0,No Deposit     ,11,       NULL,0,Transient,48.6,0,0,Canceled,08-04-2015
1,90,2015,July,28,7,5,15,1,0,0,SC       ,PRT,Online TA,TA/TO,0,0,0,A               ,A               ,0,No Deposit     ,11,       NULL,0,Transient,48.6,0,0,Canceled,11-04-2015
1,117,2015,July,28,7,5,15,1,0,0,BB       ,PRT,Online TA,TA/TO,0,0,0,A               ,A               ,0,No Deposit     ,11,       NULL,0,Transient,48.6,0,0,Canceled,08-04-2015
0,6,2015,July,28,8,0,2,2,0,0,BB       ,PRT,Groups,TA/TO,0,0,0,A               ,A               ,0,No Deposit     ,1,       NULL,0,Transient-Party,62,0,0,Check-Out,10-07-2015
1,105,2015,July,28,8,0,2,2,0,0,BB       ,PRT,Online TA,TA/TO,0,0,0,A               ,A               ,0,No Deposit     ,9,       NULL,0,Transient,76.5,0,1,Canceled,05-04-2015
0,51,2015,July,28,8,1,4,2,0,0,BB       ,PRT,Offline TA/TO,TA/TO,0,0,0,A               ,A               ,0,No Deposit     ,27,       NULL,0,Transient,67.5,0,0,Check-Out,13-07-2015
1,97,2015,July,28,8,1,4,2,0,0,BB       ,PRT,Online TA,TA/TO,0,0,0,A               ,A               ,0,No Deposit     ,9,       NULL,0,Transient,76.5,0,2,Canceled,29-06-2015
0,72,2015,July,28,8,1,4,2,0,0,BB       ,PRT,Online TA,TA/TO,0,0,0,A               ,A               ,0,No Deposit     ,8,       NULL,0,Transient,76.5,0,0,Check-Out,13-07-2015
1,72,2015,July,28,8,2,5,2,0,0,BB       ,PRT,Online TA,TA/TO,0,0,0,A               ,A               ,0,No Deposit     ,9,       NULL,0,Transient,76.5,0,1,Canceled,25-06-2015
1,61,2015,July,28,8,2,8,2,0,0,BB       ,PRT,Online TA,TA/TO,0,0,0,A               ,A               ,0,No Deposit     ,8,       NULL,0,Transient,68.85,0,0,Canceled,14-05-2015
1,63,2015,July,28,8,2,8,2,0,0,SC       ,PRT,Online TA,TA/TO,0,0,0,A               ,A               ,0,No Deposit     ,8,       NULL,0,Transient,68.85,0,0,Canceled,07-05-2015
1,24,2015,July,28,9,0,2,3,0,0,BB       ,PRT,Online TA,TA/TO,0,0,0,A               ,A               ,0,No Deposit     ,15,       NULL,0,Transient,100,0,0,Canceled,15-06-2015
1,89,2015,July,28,9,0,3,2,0,0,BB       ,PRT,Online TA,TA/TO,0,0,0,A               ,A               ,0,No Deposit     ,9,       NULL,0,Transient,76.5,0,1,Canceled,27-06-2015
0,92,2015,July,28,9,2,3,2,0,0,BB       ,PRT,Online TA,TA/TO,0,0,0,A               ,A               ,0,No Deposit     ,7,       NULL,0,Transient,58.9,0,1,Check-Out,14-07-2015
1,84,2015,July,28,10,0,1,2,0,0,BB       ,PRT,Groups,TA/TO,0,0,0,A               ,A               ,0,No Deposit     ,1,       NULL,0,Transient,63.75,0,0,Canceled,30-06-2015
1,65,2015,July,28,10,0,2,2,0,0,BB       ,PRT,Online TA,TA/TO,0,0,0,A               ,A               ,0,No Deposit     ,9,       NULL,0,Transient,68.85,0,1,Canceled,01-07-2015
1,85,2015,July,28,10,1,2,2,0,0,BB       ,PRT,Direct,Direct,0,0,0,A               ,A               ,0,No Deposit     ,14,       NULL,0,Transient,76.5,0,0,Canceled,10-07-2015
1,115,2015,July,28,10,2,3,1,0,0,BB       ,PRT,Online TA,TA/TO,0,0,0,A               ,A               ,0,No Deposit     ,9,       NULL,0,Transient,68,0,2,Canceled,25-05-2015
0,67,2015,July,28,10,2,3,2,2,0,BB       ,PRT,Offline TA/TO,TA/TO,0,0,0,A               ,A               ,1,No Deposit     ,22,       NULL,0,Transient,106.25,0,0,Check-Out,15-07-2015
1,87,2015,July,28,10,3,7,2,0,0,BB       ,PRT,Online TA,TA/TO,0,0,0,A               ,A               ,0,No Deposit     ,7,       NULL,0,Transient,58.9,0,1,Canceled,01-06-2015
1,87,2015,July,28,10,3,7,2,0,0,BB       ,PRT,Online TA,TA/TO,0,0,0,A               ,A               ,0,No Deposit     ,7,       NULL,0,Transient,58.9,0,1,Canceled,01-06-2015
0,71,2015,July,28,11,0,1,1,0,0,SC       ,PRT,Online TA,TA/TO,0,0,0,A               ,A               ,1,No Deposit     ,11,       NULL,0,Transient,51.96,0,0,Check-Out,12-07-2015
0,3,2015,July,28,11,0,1,2,0,0,BB       ,PRT,Offline TA/TO,TA/TO,0,0,0,A               ,A               ,0,No Deposit     ,17,       NULL,0,Transient-Party,75,0,0,Check-Out,12-07-2015
0,71,2015,July,28,11,0,1,1,0,0,SC       ,PRT,Online TA,TA/TO,0,0,0,A               ,A               ,1,No Deposit     ,11,       NULL,0,Transient,51.96,0,0,Check-Out,12-07-2015
0,3,2015,July,28,11,0,1,3,0,0,BB       ,PRT,Offline TA/TO,TA/TO,0,0,0,A               ,A               ,0,No Deposit     ,17,       NULL,0,Transient-Party,104,0,0,Check-Out,12-07-2015
1,109,2015,July,28,11,2,1,2,0,0,BB       ,PRT,Online TA,TA/TO,0,0,0,A               ,A               ,0,No Deposit     ,9,       NULL,0,Transient,76.5,0,1,Canceled,27-06-2015
0,96,2015,July,28,11,2,1,2,0,0,HB       ,PRT,Offline TA/TO,TA/TO,0,0,0,A               ,A               ,0,No Deposit     ,17,       NULL,0,Transient-Party,94.5,0,0,Check-Out,14-07-2015
0,96,2015,July,28,11,2,1,2,0,0,HB       ,PRT,Offline TA/TO,TA/TO,0,0,0,A               ,A               ,0,No Deposit     ,17,       NULL,0,Transient-Party,94.5,0,0,Check-Out,14-07-2015
1,65,2015,July,28,11,2,1,2,0,0,BB       ,PRT,Online TA,TA/TO,0,0,0,A               ,A               ,0,No Deposit     ,9,       NULL,0,Transient,76.5,0,1,Canceled,12-06-2015
1,114,2015,July,28,11,2,1,2,0,0,BB       ,PRT,Online TA,TA/TO,0,0,0,A               ,A               ,0,No Deposit     ,8,       NULL,0,Transient,76.5,0,0,Canceled,11-05-2015
0,96,2015,July,28,11,2,1,2,0,0,HB       ,PRT,Offline TA/TO,TA/TO,0,0,0,A               ,A               ,0,No Deposit     ,17,       NULL,0,Transient-Party,94.5,0,0,Check-Out,14-07-2015
1,96,2015,July,28,11,2,1,2,0,0,HB       ,ITA,Offline TA/TO,TA/TO,0,0,0,A               ,A               ,0,No Deposit     ,17,       NULL,0,Transient-Party,94.5,0,0,Canceled,23-06-2015
0,3,2015,July,28,11,2,1,3,0,0,HB       ,PRT,Offline TA/TO,TA/TO,0,0,0,A               ,A               ,0,No Deposit     ,17,       NULL,0,Transient-Party,138.5,0,0,Check-Out,14-07-2015
0,61,2015,July,28,11,2,1,2,0,0,BB       ,PRT,Online TA,TA/TO,0,0,0,A               ,A               ,0,No Deposit     ,7,       NULL,0,Transient,55.96,0,0,Check-Out,14-07-2015
0,96,2015,July,28,11,2,1,2,0,0,HB       ,PRT,Offline TA/TO,TA/TO,0,0,0,A               ,A               ,0,No Deposit     ,17,       NULL,0,Transient-Party,94.5,0,0,Check-Out,14-07-2015
0,96,2015,July,28,11,2,1,2,0,0,HB       ,PRT,Offline TA/TO,TA/TO,0,0,0,A               ,A               ,0,No Deposit     ,17,       NULL,0,Transient-Party,94.5,0,0,Check-Out,14-07-2015
0,3,2015,July,28,11,2,1,1,0,0,HB       ,PRT,Offline TA/TO,TA/TO,0,0,0,A               ,A               ,0,No Deposit     ,17,       NULL,0,Transient-Party,72.5,0,0,Check-Out,14-07-2015
1,96,2015,July,28,11,2,1,2,0,0,HB       ,ITA,Offline TA/TO,TA/TO,0,0,0,A               ,A               ,0,No Deposit     ,17,       NULL,0,Transient-Party,94.5,0,0,Canceled,23-06-2015
1,96,2015,July,28,11,2,1,2,0,0,HB       ,ITA,Offline TA/TO,TA/TO,0,0,0,A               ,A               ,0,No Deposit     ,17,       NULL,0,Transient-Party,94.5,0,0,Canceled,23-06-2015
0,96,2015,July,28,11,2,1,2,0,0,HB       ,PRT,Offline TA/TO,TA/TO,0,0,0,A               ,A               ,0,No Deposit     ,17,       NULL,0,Transient-Party,94.5,0,0,Check-Out,14-07-2015
1,96,2015,July,28,11,2,1,2,0,0,HB       ,ITA,Offline TA/TO,TA/TO,0,0,0,A               ,A               ,0,No Deposit     ,17,       NULL,0,Transient-Party,94.5,0,0,Canceled,23-06-2015
0,3,2015,July,28,11,2,1,1,0,0,HB       ,PRT,Offline TA/TO,TA/TO,0,0,0,A               ,A               ,0,No Deposit     ,17,       NULL,0,Transient-Party,72.5,0,0,Check-Out,14-07-2015
0,96,2015,July,28,11,2,1,2,0,0,HB       ,PRT,Offline TA/TO,TA/TO,0,0,0,A               ,A               ,0,No Deposit     ,17,       NULL,0,Transient-Party,94.5,0,0,Check-Out,14-07-2015
1,96,2015,July,28,11,2,1,2,0,0,HB       ,ITA,Offline TA/TO,TA/TO,0,0,0,A               ,A               ,0,No Deposit     ,17,       NULL,0,Transient-Party,94.5,0,0,Canceled,23-06-2015
1,96,2015,July,28,11,2,1,2,0,0,HB       ,ITA,Offline TA/TO,TA/TO,0,0,0,A               ,A               ,0,No Deposit     ,17,       NULL,0,Transient-Party,94.5,0,0,Canceled,23-06-2015
